day,policy,saturation,memory,backlog_start,arrivals,closed,backlog,missed,gross,liability,recovered,legitimate_margin,authentication_cost,operating_cost,value,service_work,capacity,scenario
2,fixed_0.5,0.50000000,0.26256406,1890,205,182,1913,0,77513.48408293,62785.92210718,29603.98023773,5028.21428571,385.71428571,164.57142857,-28704.01329802,182.00000000,182.85714286,Base
3,fixed_0.5,0.50000000,0.28037176,1913,201,182,1932,0,77714.26730661,62948.55651835,28663.07688617,5028.21428571,385.71428571,164.57142857,-29807.55106075,182.00000000,182.85714286,Base
4,fixed_0.5,0.50000000,0.29684388,1932,183,182,1933,0,71881.30798256,58223.85946587,29401.42103351,5028.21428571,385.71428571,164.57142857,-24344.50986093,182.00000000,182.85714286,Base
5,fixed_0.5,0.50000000,0.31208059,1933,191,182,1942,0,68021.97153906,55097.79694664,30029.20415348,5028.21428571,385.71428571,164.57142857,-20590.66422173,182.00000000,182.85714286,Base
6,fixed_0.5,0.50000000,0.32617454,1942,218,182,1978,0,78080.19430106,63244.95738386,28164.84890623,5028.21428571,385.71428571,164.57142857,-30602.17990620,182.00000000,182.85714286,Base
7,fixed_0.5,0.50000000,0.33921145,1978,243,182,2039,0,92016.07257417,74533.01878508,34660.77348708,5028.21428571,385.71428571,164.57142857,-35394.31672656,182.00000000,182.85714286,Base
8,fixed_0.5,0.50000000,0.35127059,2039,225,182,2082,0,86159.24912855,69788.99179413,29844.71101503,5028.21428571,385.71428571,164.57142857,-35466.35220767,182.00000000,182.85714286,Base
9,fixed_0.5,0.50000000,0.36242530,2082,211,182,2111,0,77881.94141243,63084.37254407,34571.79514437,5028.21428571,385.71428571,164.57142857,-24034.64882826,182.00000000,182.85714286,Base
10,fixed_0.5,0.50000000,0.37274340,2111,217,169,2159,0,81359.51142595,65901.20425502,24549.50347127,5028.21428571,385.71428571,164.57142857,-36873.77221232,182.50000000,182.85714286,Base
11,fixed_0.5,0.50000000,0.38228765,2159,239,166,2232,0,85221.97197242,69029.79729766,24188.19686794,5028.21428571,385.71428571,164.57142857,-40363.67185829,182.50000000,182.85714286,Base
12,fixed_0.5,0.50000000,0.39111607,2232,211,164,2279,0,85534.16320291,69282.67219435,24230.63992870,5028.21428571,385.71428571,164.57142857,-40574.10369422,182.25000000,182.85714286,Base
13,fixed_0.5,0.50000000,0.39928237,2279,194,170,2303,2,80351.10702443,65084.39668979,28089.31364761,5028.21428571,385.71428571,164.57142857,-32517.15447075,182.75000000,182.85714286,Base
14,fixed_0.5,0.50000000,0.40683619,2303,226,169,2360,5,93389.04156570,75645.12366822,24703.63792115,5028.21428571,385.71428571,164.57142857,-46463.55717564,182.00000000,182.85714286,Base
15,fixed_0.5,0.50000000,0.41382347,2360,204,165,2399,1,80688.39018304,65357.59604826,22087.02020569,5028.21428571,385.71428571,164.57142857,-38792.64727114,182.00000000,182.85714286,Base
16,fixed_0.5,0.50000000,0.42028671,2399,231,169,2461,3,95242.52349823,77146.44403357,25251.32107769,5028.21428571,385.71428571,164.57142857,-47417.19438445,182.50000000,182.85714286,Base
17,fixed_0.5,0.50000000,0.42626521,2461,240,171,2530,4,86360.30682441,69951.84852777,24313.18828191,5028.21428571,385.71428571,164.57142857,-41160.73167444,182.25000000,182.85714286,Base
18,fixed_0.5,0.50000000,0.43179532,2530,206,171,2565,7,80058.55297327,64847.42790835,24233.61186075,5028.21428571,385.71428571,164.57142857,-36135.88747618,182.75000000,182.85714286,Base
19,fixed_0.5,0.50000000,0.43691067,2565,227,168,2624,3,91889.82705211,74430.75991221,24839.12381545,5028.21428571,385.71428571,164.57142857,-45113.70752533,182.75000000,182.85714286,Base
20,fixed_0.5,0.50000000,0.44164237,2624,206,174,2656,7,80517.31961504,65219.02888818,23159.94903614,5028.21428571,385.71428571,164.57142857,-37581.15128061,182.25000000,182.85714286,Base
21,fixed_0.5,0.50000000,0.44601919,2656,219,209,2666,44,79083.44688365,64057.59197576,23103.12954894,5028.21428571,385.71428571,164.57142857,-36476.53385539,182.00000000,182.85714286,Base
22,fixed_0.5,0.50000000,0.45006775,2666,234,212,2688,46,88735.85941390,71876.04612526,23247.13600284,5028.21428571,385.71428571,164.57142857,-44150.98155098,182.75000000,182.85714286,Base
23,fixed_0.5,0.50000000,0.45381267,2688,197,214,2671,51,73392.88904504,59448.24012648,21788.89910582,5028.21428571,385.71428571,164.57142857,-33181.41244923,182.50000000,182.85714286,Base
24,fixed_0.5,0.50000000,0.45727672,2671,227,242,2656,76,88526.77855079,71706.69062614,24607.73695020,5028.21428571,385.71428571,164.57142857,-42621.02510451,182.75000000,182.85714286,Base
25,fixed_0.5,0.50000000,0.46048097,2656,228,212,2672,45,85000.43136186,68850.34940310,26578.11839703,5028.21428571,385.71428571,164.57142857,-37794.30243465,182.00000000,182.85714286,Base
26,fixed_0.5,0.50000000,0.46344489,2672,224,195,2701,27,75707.79667502,61323.31530677,25024.55177448,5028.21428571,385.71428571,164.57142857,-31820.83496086,182.25000000,182.85714286,Base
27,fixed_0.5,0.50000000,0.46618653,2701,225,224,2702,58,83397.85701716,67552.26418390,25385.60540671,5028.21428571,385.71428571,164.57142857,-37688.73020576,182.50000000,182.85714286,Base
28,fixed_0.5,0.50000000,0.46872254,2702,116,204,2614,38,37780.09911997,30601.88028718,29580.66491914,5028.21428571,385.71428571,164.57142857,3456.71320340,182.00000000,182.85714286,Base
29,fixed_0.5,0.50000000,0.47106835,2614,124,232,2506,65,48338.67319670,39154.32528933,25936.70071042,5028.21428571,385.71428571,164.57142857,-8739.69600748,182.25000000,182.85714286,Base
