block,week,week_in_block,channel,saturation,assignment_probability,prior_memory,memory,displaced_out,displaced_in,attack_attempts,indexed_loss
4,19,4,4,0.50000000,0.33333333,0.44111202,0.48586100,242.93049762,251.27027440,1008.33977677,780.43082146
4,19,4,5,0.80000000,0.33333333,0.74011503,0.78562162,392.81080922,221.29421208,828.48340285,358.58750533
5,20,1,0,0.20000000,0.33333333,0.23335244,0.22334671,111.67335445,277.56479085,1165.89143641,1115.49410591
5,20,1,1,0.50000000,0.33333333,0.26939284,0.33857499,169.28749263,266.04196322,1096.75447059,714.38753173
5,20,1,2,0.20000000,0.33333333,0.56839585,0.45787709,228.93854686,254.11175237,1025.17320552,973.07940886
5,20,1,3,0.80000000,0.33333333,0.65594000,0.69915800,349.57900000,229.98366174,880.40466174,451.04032847
5,20,1,4,0.50000000,0.33333333,0.48586100,0.49010270,245.05134834,250.88919208,1005.83784374,647.18226972
5,20,1,5,0.80000000,0.33333333,0.78562162,0.78993513,394.96756646,220.90594845,825.93838200,378.68243681
5,21,2,0,0.20000000,0.33333333,0.23335244,0.21634270,108.17134811,278.29535360,1170.12400548,870.75790161
5,21,2,1,0.50000000,0.33333333,0.26939284,0.38700249,193.50124484,261.22937425,1067.72812941,776.33607419
5,21,2,2,0.20000000,0.33333333,0.56839585,0.38051397,190.25698280,261.87822666,1071.62124386,925.07681275
5,21,2,3,0.80000000,0.33333333,0.65594000,0.72941060,364.70530000,226.98856322,862.28326322,436.45173574
5,21,2,4,0.50000000,0.33333333,0.48586100,0.49307189,246.53594383,250.62243445,1004.08649062,638.48551037
5,21,2,5,0.80000000,0.33333333,0.78562162,0.79295459,396.47729652,220.63416392,824.15686740,399.70778777
5,22,3,0,0.20000000,0.33333333,0.23335244,0.21143989,105.71994368,278.80674752,1173.08680384,967.50623734
5,22,3,1,0.50000000,0.33333333,0.26939284,0.42090174,210.45087139,257.86056198,1047.40969059,682.22844999
5,22,3,2,0.20000000,0.33333333,0.56839585,0.32635978,163.17988796,267.31475866,1104.13487070,902.85899015
5,22,3,3,0.80000000,0.33333333,0.65594000,0.75058742,375.29371000,224.89199425,849.59828425,445.73004289
5,22,3,4,0.50000000,0.33333333,0.48586100,0.49515032,247.57516068,250.43570412,1002.86054343,721.14033762
5,22,3,5,0.80000000,0.33333333,0.78562162,0.79506822,397.53410756,220.44391474,822.90980718,421.50313426
5,23,4,0,0.20000000,0.33333333,0.23335244,0.20800792,104.00396058,279.16472326,1175.16076269,799.55635623
5,23,4,1,0.50000000,0.33333333,0.26939284,0.44463122,222.31560997,255.50239338,1033.18678341,657.15946944
5,23,4,2,0.20000000,0.33333333,0.56839585,0.28845184,144.22592157,271.12033106,1126.89440949,994.64531719
5,23,4,3,0.80000000,0.33333333,0.65594000,0.76541119,382.70559700,223.42439598,840.71879898,444.12965395
5,23,4,4,0.50000000,0.33333333,0.48586100,0.49660522,248.30261248,250.30499288,1002.00238040,780.78094442
5,23,4,5,0.80000000,0.33333333,0.78562162,0.79654775,398.27387529,220.31074032,822.03686503,489.18516872
6,24,1,0,0.50000000,0.33333333,0.20800792,0.29560554,147.80277240,270.41530628,1122.61253388,902.04256240
6,24,1,1,0.20000000,0.33333333,0.44463122,0.37124185,185.62092698,262.85167537,1077.23074839,1002.76203147
6,24,1,2,0.80000000,0.33333333,0.28845184,0.44191629,220.95814510,255.78423174,1034.82608664,486.24075728
6,24,1,3,0.80000000,0.33333333,0.76541119,0.77578784,387.89391790,222.39707718,834.50315928,450.44273203
6,24,1,4,0.50000000,0.33333333,0.49660522,0.49762366,248.81182874,250.21349502,1001.40166628,687.51416199
6,24,1,5,0.20000000,0.33333333,0.79654775,0.61758343,308.79171271,238.21751822,929.42580552,977.45309045
6,25,2,0,0.50000000,0.33333333,0.20800792,0.35692388,178.46194068,264.29071440,1085.82877372,844.50740768
6,25,2,1,0.20000000,0.33333333,0.44463122,0.31986930,159.93464889,267.99617276,1108.06152387,974.27352482
6,25,2,2,0.80000000,0.33333333,0.28845184,0.54934140,274.67070157,245.04896222,970.37826065,492.99409733
6,25,2,3,0.80000000,0.33333333,0.76541119,0.78305149,391.52574253,221.67795403,830.15221150,405.98247598
6,25,2,4,0.50000000,0.33333333,0.49660522,0.49833656,249.16828011,250.14944651,1000.98116640,655.00169314
6,25,2,5,0.20000000,0.33333333,0.79654775,0.49230840,246.15419889,250.75226276,1004.59806386,840.76051830
6,26,3,0,0.50000000,0.33333333,0.20800792,0.39984672,199.92335848,260.00350008,1060.08014160,766.62747039
6,26,3,1,0.20000000,0.33333333,0.44463122,0.28390851,141.95425422,271.59732093,1129.64306671,872.82025885
6,26,3,2,0.80000000,0.33333333,0.28845184,0.62453898,312.26949110,237.53427355,925.26478246,403.74134692
6,26,3,3,0.80000000,0.33333333,0.76541119,0.78813604,394.06801977,221.17456782,827.10654805,344.10886333
6,26,3,4,0.50000000,0.33333333,0.49660522,0.49883559,249.41779608,250.10461256,1000.68681648,754.53011965
6,26,3,5,0.20000000,0.33333333,0.79654775,0.40461588,202.30793923,259.52658393,1057.21864470,937.06718530
6,27,4,0,0.50000000,0.33333333,0.20800792,0.42989270,214.94635093,257.00245006,1042.05609912,779.32689786
6,27,4,1,0.20000000,0.33333333,0.44463122,0.25873596,129.36797795,274.11812465,1144.75014670,844.67419248
6,27,4,2,0.80000000,0.33333333,0.28845184,0.67717729,338.58864377,232.27399149,893.68534772,510.64122184
6,27,4,3,0.80000000,0.33333333,0.76541119,0.79169523,395.84761384,220.82219747,824.97458363,403.58053705
6,27,4,4,0.50000000,0.33333333,0.49660522,0.49918491,249.59245726,250.07322879,1000.48077153,678.57998299
6,27,4,5,0.20000000,0.33333333,0.79654775,0.34323111,171.61555746,265.66860875,1094.05305129,853.12584224
7,28,1,0,0.20000000,0.33333333,0.42989270,0.36092489,180.46244565,263.90171504,1083.43926938,853.42276138
7,28,1,1,0.20000000,0.33333333,0.25873596,0.24111517,120.55758457,275.88268726,1155.32510269,877.99707198
7,28,1,2,0.80000000,0.33333333,0.67717729,0.71402410,357.01205064,228.59179404,871.57974340,420.04312198
7,28,1,3,0.50000000,0.33333333,0.79169523,0.70418666,352.09332969,229.57553823,877.48220854,592.46369382
7,28,1,4,0.50000000,0.33333333,0.49918491,0.49942944,249.71472008,250.05126015,1000.33654007,734.83253684
7,28,1,5,0.80000000,0.33333333,0.34323111,0.48026178,240.13089022,251.96802613,1011.83713590,519.22594851
7,29,2,0,0.20000000,0.33333333,0.42989270,0.31264742,156.32371196,268.73120053,1112.40748857,980.78439681
7,29,2,1,0.20000000,0.33333333,0.25873596,0.22878062,114.39030920,277.11788108,1162.72757188,1119.55942374
7,29,2,2,0.80000000,0.33333333,0.67717729,0.73981687,369.90843545,226.01425583,856.10582038,448.64393129
7,29,2,3,0.50000000,0.33333333,0.79169523,0.64293066,321.46533078,235.70287676,914.23754598,730.11933473
7,29,2,4,0.50000000,0.33333333,0.49918491,0.49960061,249.80030406,250.03588211,1000.23557805,736.61818995
7,29,2,5,0.80000000,0.33333333,0.34323111,0.57618325,288.09162315,242.37761829,954.28599513,558.96400003
7,30,3,0,0.20000000,0.33333333,0.42989270,0.27885320,139.42659837,272.11184037,1132.68524200,995.08169063
7,30,3,1,0.20000000,0.33333333,0.25873596,0.22014643,110.07321644,277.98251676,1167.90930032,977.36273609
7,30,3,2,0.80000000,0.33333333,0.67717729,0.75787181,378.93590481,224.20997908,845.27407427,498.23808297
7,30,3,3,0.50000000,0.33333333,0.79169523,0.60005146,300.02573155,239.99201373,939.96628219,674.55783587
7,30,3,4,0.50000000,0.33333333,0.49918491,0.49972043,249.86021284,250.02511748,1000.16490464,745.90530645
7,30,3,5,0.80000000,0.33333333,0.34323111,0.64332827,321.66413621,235.66433280,914.00019659,541.35298062
7,31,4,0,0.20000000,0.33333333,0.42989270,0.25519724,127.59861886,274.47828826,1146.87966940,938.40383940
7,31,4,1,0.20000000,0.33333333,0.25873596,0.21410250,107.05125151,278.58776173,1171.53651022,1232.08842583
7,31,4,2,0.80000000,0.33333333,0.67717729,0.77051027,385.25513337,222.94698536,837.69185199,482.12366445
7,31,4,3,0.50000000,0.33333333,0.79169523,0.57003602,285.01801208,242.99440961,957.97639753,566.29081295
7,31,4,4,0.50000000,0.33333333,0.49918491,0.49980430,249.90214899,250.01758223,1000.11543325,643.42534233
7,31,4,5,0.80000000,0.33333333,0.34323111,0.69032979,345.16489535,230.96503296,885.80013762,472.11059645
8,32,1,0,0.80000000,0.33333333,0.25519724,0.41863807,209.31903320,258.13480178,1048.81576858,524.68772743
8,32,1,1,0.20000000,0.33333333,0.21410250,0.20987175,104.93587605,279.01143321,1174.07555716,905.95370439
8,32,1,2,0.20000000,0.33333333,0.77051027,0.59935719,299.67859336,240.06288975,940.38429639,782.45455629
8,32,1,3,0.50000000,0.33333333,0.57003602,0.54902522,274.51260846,245.09608673,970.58347827,720.81502713
8,32,1,4,0.50000000,0.33333333,0.49980430,0.49986301,249.93150429,250.01230756,1000.08080327,745.45746110
8,32,1,5,0.80000000,0.33333333,0.69032979,0.72323085,361.61542674,227.67552307,866.06009633,471.62462143
8,33,2,0,0.80000000,0.33333333,0.25519724,0.53304665,266.52332324,246.69436125,980.17103801,535.06553673
8,33,2,1,0.20000000,0.33333333,0.21410250,0.20691023,103.45511324,279.30800325,1175.85289001,1022.58085213
8,33,2,2,0.20000000,0.33333333,0.77051027,0.47955003,239.77501535,252.04402282,1012.26900747,781.46499916
8,33,2,3,0.50000000,0.33333333,0.57003602,0.53431765,267.15882592,246.56726071,979.40843479,738.38703691
8,33,2,4,0.50000000,0.33333333,0.49980430,0.49990411,249.95205300,250.00861529,1000.05656229,654.95648035
8,33,2,5,0.80000000,0.33333333,0.69032979,0.74626160,373.13079872,225.37286615,852.24206743,427.58281920
8,34,3,0,0.80000000,0.33333333,0.25519724,0.61313265,306.56632627,238.68605287,932.11972660,486.70595161
8,34,3,1,0.20000000,0.33333333,0.21410250,0.20483716,102.41857927,279.51560227,1177.09702301,1147.44749961
8,34,3,2,0.20000000,0.33333333,0.77051027,0.39568502,197.84251075,260.43081598,1062.58830523,985.00788048
8,34,3,3,0.50000000,0.33333333,0.57003602,0.52402236,262.01117814,247.59708250,985.58590435,671.55730739
8,34,3,4,0.50000000,0.33333333,0.49980430,0.49993287,249.96643710,250.00603071,1000.03959360,691.83527709
8,34,3,5,0.80000000,0.33333333,0.69032979,0.76238312,381.19155910,223.76100631,842.56944720,449.89941187
8,35,4,0,0.80000000,0.33333333,0.25519724,0.66919286,334.59642839,233.08023701,898.48380862,440.27167479
8,35,4,1,0.20000000,0.33333333,0.21410250,0.20338601,101.69300549,279.66092159,1177.96791610,949.45498854
8,35,4,2,0.20000000,0.33333333,0.77051027,0.33697952,168.48975752,266.30157118,1097.81181366,867.81191457
8,35,4,3,0.50000000,0.33333333,0.57003602,0.51681565,258.40782470,248.31795775,989.91013305,687.80803866
8,35,4,4,0.50000000,0.33333333,0.49980430,0.49995301,249.97650597,250.00422149,1000.02771552,688.41376961
8,35,4,5,0.80000000,0.33333333,0.69032979,0.77366818,386.83409137,222.63270441,835.79861304,385.77647431
9,36,1,0,0.20000000,0.33333333,0.66919286,0.52843500,264.21749987,247.15616591,982.93866604,768.86230253
9,36,1,1,0.50000000,0.33333333,0.20338601,0.29237021,146.18510384,270.76264511,1124.57754127,705.76959469
9,36,1,2,0.20000000,0.33333333,0.33697952,0.29588566,147.94283027,270.41109983,1122.46826956,881.86485227
9,36,1,3,0.80000000,0.33333333,0.51681565,0.60177095,300.88547729,239.82257042,938.93709313,408.04010922
9,36,1,4,0.80000000,0.33333333,0.49995301,0.58996711,294.98355418,241.00295505,946.01940087,513.23505383
9,36,1,5,0.50000000,0.33333333,0.77366818,0.69156773,345.78386396,230.84289309,885.05902913,673.44800774
9,37,2,0,0.20000000,0.33333333,0.66919286,0.42990450,214.95224991,257.00931614,1042.05706623,944.32714673
9,37,2,1,0.50000000,0.33333333,0.20338601,0.35465915,177.32957269,264.53385158,1087.20427889,686.03839206
9,37,2,2,0.20000000,0.33333333,0.33697952,0.26711996,133.55998119,273.28776988,1139.72778869,1174.16071038
